Time(sec),A7ECZAYZXAL3W
0.0,-99.94605394605395
1.0,-99.82617382617384
2.0,-99.70629370629372
3.0,-99.5864135864136
4.0,-99.46653346653349
5.0,-99.34665334665337
6.0,-99.22677322677325
7.0,-99.10689310689312
8.0,-98.987012987013
9.0,-98.86713286713288
10.0,-98.74725274725276
11.0,-98.62737262737264
12.0,-98.50749250749251
13.0,-98.38761238761239
14.0,-85.19147852147853
15.0,-50.86363636363636
16.0,
17.0,
18.0,
19.0,-95.34615384615384
20.0,-59.297422924297926
21.0,6.57889985380117
22.0,-41.47405372405372
23.0,-87.30952380952382
24.0,-97.77777777777777
25.0,
26.0,
27.0,
28.0,
29.0,
30.0,
31.0,
32.0,
33.0,
34.0,
35.0,
36.0,29.04181818181818
37.0,-1.1106060606060606
38.0,-23.168010752688172
39.0,-25.913709677419355
40.0,-25.98360215053763
41.0,-26.05349462365591
42.0,-26.123387096774195
43.0,-26.193279569892475
44.0,-26.26317204301075
45.0,-26.33306451612903
46.0,-26.402956989247308
47.0,-26.472849462365595
48.0,-26.54274193548387
49.0,-26.61263440860215
50.0,-26.682526881720428
51.0,-26.752419354838707
52.0,-26.82231182795699
53.0,-26.892204301075264
54.0,-26.962096774193547
55.0,-27.031989247311827
56.0,-27.10188172043011
57.0,-27.171774193548384
58.0,-27.241666666666664
59.0,-27.311559139784947
60.0,-27.381451612903227
61.0,-27.451344086021503
62.0,-27.521236559139783
63.0,-27.591129032258067
64.0,-27.661021505376347
65.0,-27.730913978494623
66.0,-27.800806451612903
67.0,-27.87069892473118
68.0,-27.940591397849467
69.0,-27.995806451612907
70.0,-28.0
71.0,-28.0
72.0,-28.0
73.0,-28.0
74.0,-28.0
75.0,-28.0
76.0,-28.0
77.0,-28.0
78.0,-28.0
79.0,-28.0
80.0,-28.0
81.0,-28.0
82.0,-28.0
83.0,-28.0
84.0,-28.0
85.0,-28.0
86.0,-28.0
87.0,-28.0
88.0,-28.0
89.0,-28.0
90.0,-28.0
91.0,-28.0
92.0,-28.0
93.0,-28.0
94.0,-28.0
95.0,-28.0
96.0,-28.0
97.0,-28.0
98.0,-28.0
99.0,-28.0
100.0,-28.0
101.0,-28.0
102.0,-28.0
103.0,-28.0
104.0,-28.0
105.0,-28.0
106.0,-28.0
107.0,-28.0
108.0,-28.0
109.0,-28.0
110.0,-28.0
111.0,-28.0
112.0,-28.0
113.0,-28.0
114.0,-28.0
115.0,-28.0
116.0,-28.0
117.0,-28.0
118.0,-28.0
119.0,-28.0
120.0,-28.0
121.0,-28.0
122.0,-28.0
123.0,-28.0
124.0,-28.0
125.0,-28.0
126.0,-28.0
127.0,-28.0
128.0,-28.0
129.0,-28.0
130.0,-28.0
131.0,-28.0
132.0,-28.0
133.0,-28.0
134.0,-28.0
135.0,-28.0
136.0,-28.0
137.0,-28.0
138.0,-28.0
139.0,-28.0
140.0,-28.0
141.0,-28.0
142.0,-28.0
143.0,-28.0
144.0,-28.0
145.0,-28.0
146.0,-28.0
147.0,-28.0
148.0,-28.0
149.0,-28.0
150.0,-28.0
151.0,-28.0
152.0,-28.0
153.0,-28.0
154.0,-28.0
155.0,-28.0
156.0,-28.0
157.0,-28.0
158.0,-28.0
159.0,-28.0
160.0,-28.0
161.0,-28.0
162.0,-28.0
163.0,-28.0
164.0,-28.0
165.0,-28.0
166.0,-28.0
167.0,-28.0
168.0,-28.0
169.0,-28.0
170.0,-28.0
171.0,-28.0
172.0,-28.0
173.0,-28.0
174.0,-28.0
175.0,-28.0
176.0,-28.0
177.0,-28.0
178.0,-28.0
179.0,-28.0
180.0,-28.0
181.0,-28.0
182.0,-28.0
183.0,-28.0
184.0,-28.0
185.0,-28.0
186.0,-28.0
187.0,-28.0
188.0,-28.0
189.0,-28.0
190.0,-28.0
191.0,-28.0
192.0,-28.0
193.0,-28.0
194.0,-28.0
195.0,-28.0
196.0,-28.0
197.0,-28.0
198.0,-28.0
199.0,-28.0
200.0,-28.0
201.0,-28.0
202.0,-28.0
203.0,-28.0
204.0,-28.0
205.0,-28.0
206.0,-28.0
207.0,-28.0
208.0,-28.0
209.0,-28.0
210.0,-28.0
211.0,-28.0
212.0,-28.0
213.0,-28.0
214.0,-28.0
215.0,-28.0
216.0,-28.0
217.0,-28.0
218.0,-28.0
219.0,-28.0
220.0,-28.0
221.0,-28.0
222.0,-28.0
223.0,-28.0
224.0,-28.0
225.0,-28.0
226.0,-28.0
227.0,-28.0
228.0,-28.0
229.0,-28.0
230.0,-28.0
231.0,-28.0
232.0,-28.0
233.0,-28.0
234.0,-28.0
235.0,-28.0
236.0,-28.0
237.0,-28.0
238.0,-28.0
239.0,-28.0
240.0,-28.0
241.0,-28.0
242.0,-28.0
243.0,-28.0
244.0,-28.0
245.0,-28.0
246.0,-28.0
247.0,-27.645833333333332
248.0,8.333183709530323
249.0,24.752325581395347
250.0,24.82209302325581
251.0,24.891860465116277
252.0,24.96162790697674
253.0,25.0
254.0,25.0
255.0,24.743589743589745
256.0,24.173789173789174
257.0,23.603988603988604
258.0,23.034188034188034
259.0,-8.58094794094794
260.0,-39.673737373737374
261.0,-45.0
262.0,-45.0
263.0,-45.0
264.0,-45.0
265.0,-45.0
266.0,-45.0
267.0,-45.0
268.0,-45.0
269.0,-45.0
270.0,-45.0
271.0,-45.0
272.0,-45.0
273.0,-45.0
274.0,-45.0
275.0,-45.0
276.0,-45.0
277.0,-45.0
278.0,-45.0
279.0,-45.0
280.0,-45.0
281.0,-45.0
282.0,-45.0
283.0,-45.0
284.0,-45.0
285.0,-45.0
286.0,-45.0
287.0,-45.0
288.0,-45.0
289.0,-45.0
290.0,-45.0
291.0,-45.0
292.0,-45.0
293.0,-45.0
294.0,-45.0
295.0,-45.0
296.0,-45.0
297.0,-45.0
298.0,-45.0
299.0,-45.0
300.0,-45.0
301.0,-45.0
302.0,-45.0
303.0,-45.0
304.0,-45.0
305.0,-45.0
306.0,-45.0
307.0,-45.0
308.0,-45.0
309.0,-45.0
310.0,-45.0
311.0,-45.0
312.0,-45.0
313.0,-45.0
314.0,-45.0
315.0,-45.0
316.0,-45.0
317.0,-45.0
318.0,-45.0
319.0,-45.0
320.0,-45.0
321.0,-45.0
322.0,-45.0
323.0,-45.0
324.0,-45.0
325.0,-45.0
326.0,-45.0
327.0,-45.0
328.0,-45.0
329.0,-45.0
330.0,-36.91173701298701
331.0,14.090634674922601
332.0,24.0
333.0,24.0
334.0,24.0
335.0,24.0
336.0,24.0
337.0,24.0
338.0,24.0
339.0,23.25
340.0,15.435714285714287
341.0,-35.66399711399711
342.0,-49.0719696969697
343.0,-49.45075757575758
344.0,-49.82954545454545
345.0,-50.0
346.0,-50.0
347.0,-50.0
348.0,-50.0
349.0,-50.0
350.0,-50.0
351.0,-50.0
352.0,-50.0
353.0,-50.0
354.0,-50.0
355.0,-50.0
356.0,-50.0
357.0,-50.0
358.0,-50.0
359.0,-50.0
360.0,-50.0
361.0,-50.0
362.0,-50.0
363.0,-50.0
364.0,-50.0
365.0,-50.0
366.0,-50.0
367.0,-50.0
368.0,-50.0
369.0,-50.0
370.0,-50.0
371.0,-50.0
372.0,-50.0
373.0,-50.0
374.0,-50.0
375.0,-50.0
376.0,-50.0
377.0,-50.0
378.0,-50.0
379.0,-50.0
380.0,-50.0
381.0,-50.0
382.0,-50.0
383.0,-50.0
384.0,-50.0
385.0,-50.0
386.0,-50.0
387.0,-50.0
388.0,-50.0
389.0,-50.0
390.0,-50.0
391.0,-50.0
392.0,-50.0
393.0,-50.0
394.0,-50.0
395.0,-50.0
396.0,-50.0
397.0,-50.0
398.0,-50.0
399.0,-50.0
400.0,-50.0
401.0,-50.0
402.0,-50.0
403.0,-50.0
404.0,-50.0
405.0,-50.0
406.0,-50.0
407.0,-50.0
408.0,-50.0
409.0,-50.0
410.0,-50.0
411.0,-50.0
412.0,-50.0
413.0,-50.0
414.0,-50.0
415.0,-50.0
416.0,-50.0
417.0,-50.0
418.0,-50.0
419.0,-50.0
420.0,-50.0
421.0,-50.0
422.0,-50.0
423.0,-50.0
424.0,-50.0
425.0,-50.0
426.0,-50.0
427.0,-50.0
428.0,-50.0
429.0,-50.0
430.0,-50.0
431.0,-50.0
432.0,-50.0
433.0,-50.0
434.0,-50.0
435.0,-50.0
436.0,-50.0
437.0,-50.0
438.0,-50.0
439.0,-50.0
440.0,-50.0
441.0,-50.0
442.0,-50.0
443.0,-50.0
444.0,-50.0
445.0,-50.0
446.0,-50.0
447.0,-50.0
448.0,-50.0
449.0,-50.0
450.0,-50.0
451.0,-50.0
452.0,-50.0
453.0,-50.0
454.0,-50.0
455.0,-50.0
456.0,-50.0
457.0,-50.0
458.0,-50.0
459.0,-50.0
460.0,-50.0
461.0,-50.0
462.0,-50.0
463.0,-50.0
464.0,-50.0
465.0,-50.0
466.0,-50.0
467.0,-50.0
468.0,-50.0
469.0,-50.0
470.0,-50.0
471.0,-50.0
472.0,-50.0
473.0,-50.0
474.0,-50.0
475.0,-50.0
476.0,-50.0
477.0,-50.0
478.0,-50.0
479.0,-50.0
480.0,-50.0
481.0,-50.0
482.0,-50.0
483.0,-50.0
484.0,-50.0
485.0,-50.0
486.0,-50.0
487.0,-50.0
488.0,-50.0
489.0,-50.0
490.0,-50.0
491.0,-50.0
492.0,-50.0
493.0,-50.0
494.0,-50.0
495.0,-50.0
496.0,-50.0
497.0,-50.0
498.0,-50.0
499.0,-50.0
500.0,-50.0
501.0,-50.0
502.0,-50.0
503.0,-50.0
504.0,-50.0
505.0,-50.0
506.0,-50.0
507.0,-50.0
508.0,-50.0
509.0,-50.0
510.0,-50.0
511.0,-50.0
512.0,-50.0
513.0,-50.0
514.0,-50.0
515.0,-50.0
516.0,-50.0
517.0,-50.0
518.0,-50.0
519.0,-50.0
520.0,-50.0
521.0,-50.0
522.0,-50.0
523.0,-50.0
524.0,-50.0
525.0,-50.0
526.0,-50.0
527.0,-50.0
528.0,-50.0
529.0,-50.0
530.0,-50.0
531.0,-50.0
532.0,-50.0
533.0,-50.0
534.0,-50.0
535.0,-50.0
536.0,-50.0
537.0,-50.0
538.0,-50.0
539.0,-50.0
540.0,-50.0
541.0,-50.0
542.0,-50.0
543.0,-50.0
544.0,-50.0
545.0,-50.0
546.0,-50.0
547.0,-50.0
548.0,-50.0
549.0,-50.0
550.0,-50.0
551.0,-50.0
552.0,-50.0
553.0,-50.0
554.0,-50.0
555.0,-50.0
556.0,-50.0
557.0,-50.0
558.0,-50.0
559.0,-50.0
560.0,-50.0
561.0,-50.0
562.0,-50.0
563.0,-50.0
564.0,-50.0
565.0,-50.0
566.0,-50.0
567.0,-50.0
568.0,-50.0
569.0,-50.0
570.0,-50.0
571.0,-50.0
572.0,-50.0
573.0,-50.0
574.0,-50.0
575.0,-50.0
576.0,-50.0
577.0,-50.0
578.0,-50.0
579.0,-50.0
580.0,-50.0
581.0,-50.0
582.0,-50.0
583.0,-50.0
584.0,-50.0
585.0,-50.0
586.0,-50.0
587.0,-50.0
588.0,-50.0
589.0,-50.0
590.0,-50.0
591.0,-50.0
592.0,-50.0
593.0,-50.0
594.0,-50.0
595.0,-50.0
596.0,-50.0
597.0,-50.0
598.0,-50.0
599.0,-50.0
600.0,-50.0
601.0,-50.0
602.0,-50.0
603.0,-50.0
604.0,-50.0
605.0,-50.0
606.0,-50.0
607.0,-50.0
608.0,-50.0
609.0,-50.0
610.0,-50.0
611.0,-50.0
612.0,-50.0
613.0,-50.0
614.0,-50.0
615.0,-50.0
616.0,-50.0
617.0,-50.0
618.0,-50.0
619.0,-50.0
620.0,-50.0
621.0,-50.0
622.0,-50.0
623.0,-50.0
624.0,-50.0
625.0,-50.0
626.0,-50.0
627.0,-50.0
628.0,-50.0
629.0,-50.0
630.0,-50.0
631.0,-50.0
632.0,-50.0
633.0,-50.0
634.0,-50.0
635.0,-50.0
636.0,-50.0
637.0,-50.0
638.0,-50.0
639.0,-50.0
640.0,-50.0
641.0,-50.0
642.0,-50.0
