Time(sec),A9ZBEA4T2FNZ3
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-95.92916666666667
58.0,-43.82724206349206
59.0,22.983578574203573
60.0,84.55496527777777
61.0,97.0
62.0,97.0
63.0,97.0
64.0,97.0
65.0,97.0
66.0,97.0
67.0,97.0
68.0,97.0
69.0,97.0
70.0,97.0
71.0,97.0
72.0,97.0
73.0,97.0
74.0,97.0
75.0,97.0
76.0,97.0
77.0,97.0
78.0,97.0
79.0,97.0
80.0,97.0
81.0,97.0
82.0,97.0
83.0,97.0
84.0,97.0
85.0,97.0
86.0,97.0
87.0,97.0
88.0,97.0
89.0,97.0
90.0,97.0
91.0,97.0
92.0,97.0
93.0,97.0
94.0,97.0
95.0,97.0
96.0,97.0
97.0,97.0
98.0,97.0
99.0,97.0
100.0,97.0
101.0,97.0
102.0,97.0
103.0,97.0
104.0,97.0
105.0,96.98170731707319
106.0,96.8719512195122
107.0,96.75
108.0,96.62804878048782
109.0,91.30995934959348
110.0,37.25666666666667
111.0,-29.391666666666662
112.0,-82.39384057971014
113.0,-87.16666666666667
114.0,-90.00615942028986
115.0,-98.625
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-100.0
154.0,-100.0
155.0,-100.0
156.0,-100.0
157.0,-100.0
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-100.0
172.0,-100.0
173.0,-100.0
174.0,-100.0
175.0,-100.0
176.0,-100.0
177.0,-100.0
178.0,-100.0
179.0,-100.0
180.0,-100.0
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-99.88000000000001
218.0,-96.285
219.0,-45.95077380952381
220.0,18.020833333333332
221.0,35.0
222.0,35.0
223.0,35.0
224.0,35.0
225.0,35.0
226.0,35.0
227.0,35.0
228.0,35.0
229.0,35.0
230.0,35.0
231.0,35.0
232.0,35.0
233.0,35.0
234.0,35.0
235.0,35.0
236.0,35.0
237.0,35.0
238.0,35.0
239.0,35.0
240.0,35.0
241.0,35.0
242.0,35.0
243.0,35.0
244.0,35.0
245.0,35.0
246.0,35.0
247.0,35.0
248.0,29.5
249.0,-24.48
250.0,-84.70294943820224
251.0,-98.29178370786515
252.0,-98.34094101123597
253.0,-98.39009831460673
254.0,-98.43925561797751
255.0,-98.48841292134833
256.0,-98.53757022471909
257.0,-98.58672752808987
258.0,-98.63588483146069
259.0,-98.68504213483145
260.0,-98.73419943820222
261.0,-98.78335674157304
262.0,-98.8325140449438
263.0,-98.8816713483146
264.0,-98.9308286516854
265.0,-98.97998595505616
266.0,-99.02914325842696
267.0,-99.07830056179776
268.0,-99.12745786516852
269.0,-99.17661516853931
270.0,-99.22577247191012
271.0,-99.2749297752809
272.0,-99.32408707865167
273.0,-99.37324438202248
274.0,-99.42240168539325
275.0,-99.47155898876403
276.0,-99.52071629213484
277.0,-99.56987359550561
278.0,-99.61903089887639
279.0,-99.6681882022472
280.0,-99.71734550561797
281.0,-99.76650280898878
282.0,-99.81566011235955
283.0,-99.86481741573033
284.0,-99.9139747191011
285.0,-99.96313202247192
286.0,-99.99852528089887
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-100.0
368.0,-100.0
369.0,-100.0
370.0,-100.0
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-100.0
376.0,-100.0
377.0,-100.0
378.0,-100.0
379.0,-100.0
380.0,-100.0
381.0,-100.0
382.0,-100.0
383.0,-99.97717391304349
384.0,-99.875
385.0,-99.7663043478261
386.0,-99.65760869565217
387.0,-99.54891304347825
388.0,-99.44021739130434
389.0,-99.33152173913044
390.0,-99.22282608695652
391.0,-99.11413043478261
392.0,-99.0054347826087
393.0,-98.89673913043478
394.0,-98.78804347826086
395.0,-98.67934782608697
396.0,-98.57065217391303
397.0,-98.46195652173913
398.0,-98.35326086956522
399.0,-98.2445652173913
400.0,-98.13586956521739
401.0,-98.02717391304347
402.0,-97.91847826086958
403.0,-97.80978260869566
404.0,-97.70108695652173
405.0,-97.59239130434783
406.0,-83.60652173913044
407.0,-23.958103448275864
408.0,-5.8275862068965525
409.0,-5.597701149425289
410.0,-5.367816091954024
411.0,-5.13793103448276
412.0,-4.908045977011495
413.0,-4.678160919540231
414.0,-4.448275862068966
415.0,-4.218390804597702
416.0,-4.0158456486042695
417.0,-3.8214285714285716
418.0,-3.2107142857142863
419.0,30.993333333333332
420.0,41.0
421.0,41.0
422.0,41.0
423.0,41.0
424.0,41.0
425.0,41.0
426.0,41.0
427.0,41.0
428.0,41.0
429.0,41.0
430.0,41.0
431.0,41.0
432.0,41.0
433.0,41.0
434.0,41.0
435.0,41.0
436.0,41.0
437.0,41.0
438.0,41.0
439.0,41.0
440.0,41.0
441.0,41.0
442.0,41.0
443.0,41.0
444.0,41.0
445.0,41.0
446.0,41.0
447.0,41.0
448.0,41.0
449.0,41.0
450.0,41.0
451.0,41.0
452.0,41.0
453.0,46.881301347462056
454.0,92.82871212121212
455.0,100.0
456.0,100.0
457.0,100.0
458.0,100.0
459.0,100.0
460.0,100.0
461.0,100.0
462.0,100.0
463.0,100.0
464.0,100.0
465.0,100.0
466.0,100.0
467.0,100.0
468.0,100.0
469.0,100.0
470.0,100.0
471.0,100.0
472.0,100.0
473.0,100.0
474.0,100.0
475.0,100.0
476.0,100.0
477.0,100.0
478.0,100.0
479.0,100.0
480.0,100.0
481.0,100.0
482.0,100.0
483.0,100.0
484.0,100.0
485.0,100.0
486.0,100.0
487.0,100.0
488.0,100.0
489.0,100.0
490.0,100.0
491.0,100.0
492.0,100.0
493.0,100.0
494.0,100.0
495.0,100.0
496.0,100.0
497.0,100.0
498.0,100.0
499.0,100.0
500.0,100.0
501.0,100.0
502.0,100.0
503.0,100.0
504.0,100.0
505.0,100.0
506.0,100.0
507.0,100.0
508.0,100.0
509.0,100.0
510.0,100.0
511.0,100.0
512.0,100.0
513.0,100.0
514.0,100.0
515.0,100.0
516.0,100.0
517.0,100.0
518.0,100.0
519.0,100.0
520.0,100.0
521.0,100.0
522.0,100.0
523.0,100.0
524.0,100.0
525.0,100.0
526.0,100.0
527.0,100.0
528.0,100.0
529.0,100.0
530.0,100.0
531.0,99.96753246753246
532.0,99.77272727272728
533.0,99.55627705627705
534.0,99.33982683982684
535.0,99.12337662337663
536.0,98.9069264069264
537.0,98.69047619047618
538.0,98.47402597402598
539.0,74.76883116883117
540.0,8.854541292041292
541.0,-20.078749999999996
542.0,-20.070416666666663
543.0,-20.062083333333334
544.0,-20.05375
545.0,-20.04541666666666
546.0,-20.03708333333333
547.0,-20.028750000000002
548.0,-20.020416666666666
549.0,-20.01208333333333
550.0,-20.00375
551.0,15.388571428571428
552.0,45.47642857142857
553.0,91.29166666666667
554.0,98.44166666666666
555.0,99.05277777777778
556.0,99.66388888888889
557.0,100.0
558.0,100.0
559.0,100.0
560.0,100.0
561.0,100.0
562.0,100.0
563.0,100.0
564.0,100.0
565.0,100.0
566.0,100.0
567.0,100.0
568.0,100.0
569.0,100.0
570.0,100.0
571.0,100.0
572.0,100.0
573.0,100.0
574.0,100.0
575.0,100.0
576.0,100.0
577.0,100.0
578.0,100.0
579.0,100.0
580.0,100.0
581.0,100.0
582.0,100.0
583.0,99.9989837398374
584.0,99.9903455284553
585.0,99.98018292682927
586.0,99.97002032520327
587.0,99.95985772357724
588.0,99.94969512195124
589.0,99.9395325203252
590.0,99.92936991869917
591.0,99.91920731707316
592.0,99.90904471544714
593.0,99.89888211382113
594.0,99.88871951219512
595.0,99.8785569105691
596.0,99.8683943089431
597.0,99.85823170731707
598.0,99.84806910569107
599.0,99.83790650406506
600.0,99.82774390243904
601.0,99.817581300813
602.0,99.80741869918698
603.0,99.79725609756096
604.0,99.78709349593494
605.0,99.77693089430893
606.0,99.76676829268293
607.0,99.75660569105692
608.0,99.7464430894309
609.0,99.73628048780488
610.0,99.72611788617887
611.0,99.71595528455286
612.0,99.70579268292684
613.0,99.6956300813008
614.0,99.6854674796748
615.0,99.67530487804876
616.0,99.66514227642276
617.0,99.65497967479673
618.0,99.64481707317073
619.0,99.63465447154472
620.0,99.6244918699187
621.0,99.61432926829269
622.0,99.60416666666667
623.0,99.59400406504066
624.0,99.58384146341464
625.0,99.57367886178864
626.0,99.5635162601626
627.0,99.55335365853657
628.0,99.54319105691056
629.0,99.53302845528454
630.0,99.52286585365853
631.0,99.51270325203252
632.0,97.66284552845528
633.0,50.339999999999996
634.0,-16.34
635.0,-80.60084317032042
636.0,-98.35441259134345
637.0,-98.38251826869028
638.0,-98.4106239460371
639.0,-98.43872962338392
640.0,-98.46683530073075
641.0,-98.49494097807757
642.0,-98.52304665542438
643.0,-98.55115233277121
644.0,-98.57925801011804
645.0,-98.60736368746487
646.0,-98.6354693648117
647.0,-98.6635750421585
648.0,-98.69168071950533
649.0,-98.71978639685216
650.0,-98.74789207419899
651.0,-98.7759977515458
652.0,-98.80410342889263
653.0,-98.83220910623945
654.0,-98.86031478358628
655.0,-98.8884204609331
656.0,-98.91652613827992
657.0,-98.94463181562675
658.0,-98.97273749297358
659.0,-99.0008431703204
660.0,-99.02894884766722
661.0,-99.05705452501405
662.0,-99.08516020236088
663.0,-99.1132658797077
664.0,-99.14137155705453
665.0,-99.16947723440134
666.0,-99.19758291174817
667.0,-99.225688589095
668.0,-99.25379426644182
669.0,-99.28189994378864
670.0,-99.31000562113547
671.0,-99.33811129848229
672.0,-99.36621697582912
673.0,-99.39432265317595
674.0,-99.42242833052278
675.0,-99.45053400786959
676.0,-99.47863968521642
677.0,-99.50674536256324
678.0,-99.53485103991007
679.0,-99.5629567172569
680.0,-99.59106239460371
681.0,-99.61916807195054
682.0,-99.64727374929736
683.0,-99.67537942664417
684.0,-99.703485103991
685.0,-99.73159078133783
686.0,-99.75969645868466
687.0,-99.78780213603149
688.0,-99.81590781337829
689.0,-99.84401349072512
690.0,-99.87211916807195
691.0,-99.90022484541878
692.0,-99.92833052276559
693.0,-99.95643620011242
694.0,-99.98454187745924
695.0,-100.0
696.0,-98.63303571428571
697.0,-52.636342592592584
698.0,11.171696359196359
699.0,28.0
