Time(sec),A3QI1RV4HQ9MO
0.0,-99.77641277641278
1.0,-99.27955227955229
2.0,-98.78269178269178
3.0,-98.28583128583128
4.0,-97.78897078897079
5.0,-97.2921102921103
6.0,-96.7952497952498
7.0,-96.2983892983893
8.0,-95.8015288015288
9.0,-95.3046683046683
10.0,-94.8078078078078
11.0,-94.31094731094731
12.0,-93.81408681408682
13.0,-93.31722631722633
14.0,-92.82036582036582
15.0,-92.32350532350532
16.0,-91.82664482664482
17.0,-91.32978432978433
18.0,-90.83292383292384
19.0,-90.33606333606333
20.0,-89.83920283920284
21.0,-89.34234234234233
22.0,-88.84548184548184
23.0,-88.34862134862135
24.0,-87.85176085176086
25.0,-87.35490035490037
26.0,-86.85803985803986
27.0,-86.36117936117935
28.0,-85.86431886431886
29.0,-85.36745836745837
30.0,-84.87059787059788
31.0,-84.37373737373737
32.0,-83.87687687687688
33.0,-83.38001638001637
34.0,-82.88315588315588
35.0,-82.38629538629539
36.0,-81.8894348894349
37.0,-81.3925743925744
38.0,-80.8957138957139
39.0,-80.39885339885339
40.0,-79.9019929019929
41.0,-79.4051324051324
42.0,-78.90827190827191
43.0,-78.41141141141142
44.0,-77.91455091455092
45.0,-77.41769041769041
46.0,-76.92082992082992
47.0,-76.42396942396942
48.0,-75.92710892710893
49.0,-75.43024843024844
50.0,-74.93338793338793
51.0,-74.43652743652743
52.0,-73.93966693966694
53.0,-73.44280644280644
54.0,-72.94594594594595
55.0,-72.44908544908546
56.0,-71.95222495222495
57.0,-71.45536445536445
58.0,-70.95850395850395
59.0,-70.46164346164346
60.0,-69.96478296478297
61.0,-69.46792246792248
62.0,-68.97106197106197
63.0,-68.47420147420146
64.0,-67.97734097734097
65.0,-67.48048048048048
66.0,-66.98361998361999
67.0,-66.4867594867595
68.0,-65.98989898989899
69.0,-65.49303849303848
70.0,-64.99617799617799
71.0,-64.4993174993175
72.0,-64.002457002457
73.0,-63.50559650559651
74.0,-63.008736008736015
75.0,-62.51187551187551
76.0,-62.01501501501501
77.0,-61.51815451815452
78.0,-61.021294021294025
79.0,-60.524433524433526
80.0,-60.027573027573034
81.0,-59.530712530712535
82.0,-59.03385203385203
83.0,-58.536991536991536
84.0,-58.040131040131044
85.0,-57.543270543270545
86.0,-57.04641004641005
87.0,-56.54954954954955
88.0,-56.05268905268905
89.0,-55.555828555828555
90.0,-55.05896805896806
91.0,-54.56210756210756
92.0,-54.06524706524707
93.0,-53.56838656838657
94.0,-53.071526071526065
95.0,-52.57466557466557
96.0,-52.07780507780508
97.0,-51.58094458094458
98.0,-51.08408408408408
99.0,-50.58722358722359
100.0,-50.09036309036309
101.0,-49.59350259350259
102.0,-49.0966420966421
103.0,-48.5997815997816
104.0,-48.1029211029211
105.0,-47.60606060606061
106.0,-47.10920010920011
107.0,-46.61233961233961
108.0,-46.11547911547912
109.0,-45.61861861861862
110.0,-45.12175812175812
111.0,-44.62489762489763
112.0,-44.12803712803713
113.0,-43.63117663117663
114.0,-43.13431613431614
115.0,-42.63745563745564
116.0,-42.14059514059514
117.0,-41.643734643734646
118.0,-41.14687414687415
119.0,-40.65001365001365
120.0,-40.153153153153156
121.0,-39.656292656292656
122.0,-39.15943215943216
123.0,-38.662571662571665
124.0,-38.165711165711166
125.0,-37.668850668850666
126.0,-37.171990171990174
127.0,-36.675129675129675
128.0,-36.17826917826918
129.0,-35.68140868140868
130.0,-35.184548184548184
131.0,-34.687687687687685
132.0,-34.19082719082719
133.0,-33.69396669396669
134.0,-33.1971061971062
135.0,-32.7002457002457
136.0,-32.2033852033852
137.0,-31.706524706524704
138.0,-31.209664209664208
139.0,-30.712803712803712
140.0,-30.21594321594322
141.0,-29.719082719082717
142.0,-29.22222222222222
143.0,-28.725361725361722
144.0,-28.228501228501226
145.0,-27.73164073164073
146.0,-27.23478023478024
147.0,-26.737919737919736
148.0,-26.24105924105924
149.0,-25.74419874419874
150.0,-25.247338247338245
151.0,-24.75047775047775
152.0,-24.253617253617254
153.0,-23.756756756756754
154.0,-23.259896259896262
155.0,-22.763035763035766
156.0,-22.26617526617527
157.0,-21.76931476931477
158.0,-21.272454272454276
159.0,-20.77559377559378
160.0,-20.27873327873328
161.0,-19.781872781872785
162.0,-19.28501228501229
163.0,-18.78815178815179
164.0,-18.291291291291294
165.0,-17.7944307944308
166.0,-17.2975702975703
167.0,-16.800709800709804
168.0,-16.303849303849308
169.0,-15.806988806988809
170.0,-15.310128310128311
171.0,-14.813267813267817
172.0,-14.316407316407318
173.0,-13.81954681954682
174.0,-13.322686322686327
175.0,-12.825825825825827
176.0,-12.328965328965332
177.0,-11.832104832104836
178.0,-11.335244335244337
179.0,-10.838383838383841
180.0,-10.341523341523345
181.0,-9.844662844662846
182.0,-9.34780234780235
183.0,-8.850941850941854
184.0,-8.354081354081355
185.0,-7.8572208572208595
186.0,-7.360360360360363
187.0,-6.863499863499865
188.0,-6.366639366639369
189.0,-5.869778869778872
190.0,-5.372918372918375
191.0,-4.876057876057878
192.0,-4.3791973791973815
193.0,-3.882336882336884
194.0,-3.3854763854763874
195.0,-2.888615888615891
196.0,-2.3917553917553933
197.0,-1.8948948948948967
198.0,-1.3980343980344003
199.0,-0.9011739011739024
200.0,-0.404313404313406
201.0,0.09254709254709041
202.0,0.5894075894075883
203.0,1.0862680862680847
204.0,1.583128583128581
205.0,2.079989079989079
206.0,2.5768495768495754
207.0,3.073710073710072
208.0,3.5705705705705695
209.0,4.067431067431066
210.0,4.564291564291563
211.0,5.06115206115206
212.0,5.558012558012557
213.0,6.054873054873053
214.0,6.551733551733551
215.0,7.0485940485940475
216.0,7.545454545454544
217.0,8.042315042315042
218.0,8.539175539175538
219.0,9.036036036036034
220.0,9.532896532896533
221.0,10.029757029757029
222.0,10.526617526617525
223.0,11.023478023478024
224.0,11.52033852033852
225.0,12.017199017199015
226.0,12.514059514059515
227.0,13.010920010920012
228.0,13.507780507780506
229.0,14.004641004641005
230.0,14.501501501501503
231.0,14.998361998361997
232.0,15.495222495222496
233.0,15.992082992082993
234.0,16.488943488943487
235.0,16.985803985803987
236.0,17.482664482664482
237.0,17.979524979524978
238.0,18.476385476385477
239.0,18.973245973245973
240.0,19.47010647010647
241.0,19.966966966966968
242.0,20.463827463827464
243.0,20.96068796068796
244.0,21.45754845754846
245.0,21.954408954408954
246.0,22.45126945126945
247.0,22.94812994812995
248.0,23.444990444990445
249.0,23.94185094185094
250.0,24.43871143871144
251.0,24.935571935571936
252.0,25.43243243243243
253.0,25.929292929292934
254.0,26.426153426153427
255.0,26.923013923013922
256.0,27.419874419874418
257.0,27.916734916734914
258.0,28.413595413595413
259.0,28.91045591045591
260.0,29.407316407316404
261.0,29.904176904176904
262.0,30.4010374010374
263.0,30.897897897897895
264.0,31.394758394758394
265.0,31.89161889161889
266.0,32.38847938847938
267.0,32.88533988533989
268.0,33.38220038220038
269.0,33.87906087906087
270.0,34.37592137592138
271.0,34.87278187278187
272.0,35.369642369642364
273.0,35.86650286650287
274.0,36.36336336336336
275.0,36.860223860223854
276.0,37.35708435708436
277.0,37.85394485394485
278.0,38.350805350805345
279.0,38.84766584766585
280.0,39.344526344526344
281.0,39.841386841386836
282.0,40.33824733824734
283.0,40.835107835107834
284.0,41.331968331968326
285.0,41.82882882882883
286.0,42.325689325689325
287.0,42.82254982254982
288.0,43.31941031941032
289.0,43.816270816270816
290.0,44.31313131313131
291.0,44.809991809991814
292.0,45.306852306852306
293.0,45.8037128037128
294.0,46.300573300573305
295.0,46.7974337974338
296.0,47.29429429429429
297.0,47.791154791154796
298.0,48.28801528801529
299.0,48.78487578487578
300.0,49.281736281736286
301.0,49.77859677859678
302.0,50.27545727545727
303.0,50.77231777231778
304.0,51.26917826917827
305.0,51.76603876603876
306.0,52.26289926289926
307.0,52.75975975975975
308.0,53.25662025662025
309.0,53.753480753480744
310.0,54.250341250341236
311.0,54.74720174720174
312.0,55.24406224406224
313.0,55.740922740922734
314.0,56.23778323778323
315.0,56.73464373464374
316.0,57.23150423150423
317.0,57.728364728364724
318.0,58.22522522522522
319.0,58.722085722085716
320.0,59.218946218946215
321.0,59.71580671580671
322.0,60.2126672126672
323.0,60.709527709527705
324.0,61.206388206388205
325.0,61.7032487032487
326.0,62.200109200109196
327.0,62.6969696969697
328.0,63.193830193830195
329.0,63.69069069069069
330.0,64.18755118755118
331.0,64.68441168441169
332.0,65.18127218127218
333.0,65.67813267813267
334.0,66.17499317499316
335.0,66.67185367185367
336.0,67.16871416871416
337.0,67.66557466557467
338.0,68.16243516243516
339.0,68.65929565929567
340.0,69.15615615615616
341.0,69.65301665301665
342.0,70.14987714987714
343.0,70.64673764673765
344.0,71.14359814359814
345.0,71.64045864045863
346.0,72.13731913731912
347.0,72.63417963417963
348.0,73.13104013104012
349.0,73.62790062790063
350.0,74.12476112476112
351.0,74.62162162162163
352.0,75.11848211848212
353.0,75.61534261534261
354.0,76.1122031122031
355.0,76.60906360906361
356.0,77.1059241059241
357.0,77.6027846027846
358.0,78.09964509964509
359.0,78.5965055965056
360.0,79.09336609336609
361.0,79.59022659022659
362.0,80.08708708708708
363.0,80.58394758394759
364.0,81.08080808080808
365.0,81.57766857766858
366.0,76.67018837018837
367.0,56.15
368.0,34.846666666666664
369.0,16.2
370.0,-2.8133333333333335
371.0,-24.388333333333332
372.0,-66.62900793650793
373.0,-92.0611111111111
374.0,-92.375
375.0,-92.40586419753086
376.0,-92.43672839506172
377.0,-92.46759259259258
378.0,-92.49845679012346
379.0,-92.52932098765432
380.0,-92.56018518518519
381.0,-92.59104938271605
382.0,-92.62191358024691
383.0,-92.65277777777777
384.0,-92.68364197530863
385.0,-92.7145061728395
386.0,-92.74537037037037
387.0,-92.77623456790124
388.0,-92.8070987654321
389.0,-92.83796296296296
390.0,-92.86882716049384
391.0,-92.89969135802468
392.0,-92.93055555555556
393.0,-92.96141975308642
394.0,-92.99135802469137
395.0,-93.0
396.0,-93.0
397.0,-93.0
398.0,-93.0
399.0,-93.0
400.0,-93.0
401.0,-93.0
402.0,-93.0
403.0,-93.0
404.0,-93.0
405.0,-93.0
406.0,-93.0
407.0,-93.0
408.0,-93.0
409.0,-93.0
410.0,-93.0
411.0,-93.0
412.0,-93.0
413.0,-93.0
414.0,-93.0
415.0,-93.0
416.0,-93.0
417.0,-93.0
418.0,-93.0
419.0,-93.0
420.0,-93.0
421.0,-93.0
422.0,-93.0
423.0,-93.0
424.0,-93.0
425.0,-93.0
426.0,-93.0
427.0,-93.0
428.0,-93.0
429.0,-93.0
430.0,-93.0
431.0,-93.0
432.0,-93.0
433.0,-93.0
434.0,-93.0
435.0,-93.0
436.0,-93.0
437.0,-93.0
438.0,-93.0
439.0,-93.0
440.0,-93.0
441.0,-93.0
442.0,-93.0
443.0,-93.0
444.0,-93.0
445.0,-93.0
446.0,-93.0
447.0,-93.0
448.0,-93.0
449.0,-93.0
450.0,-93.0
451.0,-93.0
452.0,-93.0
453.0,-93.0
454.0,-93.0
455.0,-93.0
456.0,-93.0
457.0,-93.0
458.0,-93.0
459.0,-93.0
460.0,-93.0
461.0,-93.0
462.0,-93.0
463.0,-93.0
464.0,-93.0
465.0,-93.0
466.0,-93.0
467.0,-93.0
468.0,-93.0
469.0,-93.0
470.0,-93.0
471.0,-93.0
472.0,-93.0
473.0,-93.0
474.0,-93.0
475.0,-93.0
476.0,-93.0
477.0,-93.0
478.0,-93.0
479.0,-93.0
480.0,-93.0
481.0,-93.0
482.0,-93.0
483.0,-93.0
484.0,-93.0
485.0,-93.0
486.0,-93.0
487.0,-93.0
488.0,-93.0
489.0,-93.0
490.0,-93.0
491.0,-93.0
492.0,-93.0
493.0,-93.0
494.0,-93.0
495.0,-93.0
496.0,-93.0
497.0,-93.0
498.0,-93.0
499.0,-93.0
500.0,-93.0
501.0,-93.0
502.0,-93.0
503.0,-93.0
504.0,-93.0
505.0,-93.0
506.0,-93.0
507.0,-93.0
508.0,-93.0
509.0,-93.0
510.0,-93.0
511.0,-93.0
512.0,-93.0
513.0,-93.0
514.0,-93.0
515.0,-93.0
516.0,-93.0
517.0,-93.0
518.0,-93.0
519.0,-93.0
520.0,-93.0
521.0,-93.0
522.0,-93.0
523.0,-93.0
524.0,-93.0
525.0,-93.0
526.0,-93.0
527.0,-93.0
528.0,-93.0
529.0,-93.0
530.0,-93.0
531.0,-93.0
532.0,-93.0
533.0,-93.0
534.0,-93.0
535.0,-93.0
536.0,-93.0
537.0,-93.0
538.0,-93.0
539.0,-93.0
540.0,-93.0
541.0,-93.0
542.0,-93.0
543.0,-93.0
544.0,-93.0
545.0,-93.0
546.0,-93.0
547.0,-93.0
548.0,-93.0
549.0,-93.0
550.0,-93.0
551.0,-93.0
552.0,-93.0
553.0,-93.0
554.0,-93.0
555.0,-93.0
556.0,-93.0
557.0,-93.0
558.0,-93.0
559.0,-93.0
560.0,-93.0
561.0,-93.0
562.0,-93.0
563.0,-93.0
564.0,-93.0
565.0,-93.0
566.0,-93.0
567.0,-93.0
568.0,-93.0
569.0,-93.0
570.0,-93.0
571.0,-93.0
572.0,-93.0
573.0,-93.0
574.0,-93.0
575.0,-93.0
576.0,-93.0
577.0,-93.0
578.0,-93.0
579.0,-93.0
580.0,-93.0
581.0,-93.0
582.0,-93.0
583.0,-93.0
584.0,-93.0
585.0,-93.0
586.0,-93.0
587.0,-93.0
588.0,-93.0
589.0,-93.0
590.0,-93.0
591.0,-93.0
592.0,-93.0
593.0,-93.0
594.0,-93.0
595.0,-93.0
596.0,-93.0
597.0,-93.0
598.0,-93.0
599.0,-93.0
600.0,-93.0
601.0,-93.0
602.0,-93.0
603.0,-93.0
604.0,-93.0
605.0,-93.0
606.0,-93.0
607.0,-93.0
608.0,-93.0
609.0,-93.0
610.0,-93.0
611.0,-93.0
612.0,-93.0
613.0,-93.0
614.0,-93.0
615.0,-93.0
616.0,-93.0
617.0,-93.0
618.0,-93.0
619.0,-93.0
620.0,-93.0
621.0,-93.0
622.0,-93.0
623.0,-93.0
624.0,-93.0
625.0,-93.0
626.0,-93.0
627.0,-93.0
628.0,-93.0
629.0,-93.0
630.0,-93.0
631.0,-93.0
632.0,-93.0
633.0,-93.0
634.0,-93.0
635.0,-93.0
636.0,-93.0
637.0,-93.0
638.0,-93.0
639.0,-93.0
640.0,-93.0
641.0,-93.0
642.0,-93.0
643.0,-93.0
644.0,-93.0
645.0,-93.0
646.0,-93.0
647.0,-93.0
648.0,-93.0
649.0,-93.0
650.0,-93.0
651.0,-93.0
652.0,-93.0
653.0,-93.0
654.0,-93.0
655.0,-93.0
656.0,-93.0
657.0,-93.0
658.0,-93.0
659.0,-93.0
660.0,-93.0
661.0,-93.0
662.0,-93.0
663.0,-93.0
664.0,-93.0
665.0,-93.0
666.0,-93.0
667.0,-93.0
668.0,-93.0
669.0,-93.0
670.0,-93.0
671.0,-93.0
672.0,-93.0
673.0,-93.0
674.0,-93.0
