Time(sec),A23KB5AO13NF7
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-100.0
80.0,-100.0
81.0,-100.0
82.0,-100.0
83.0,-100.0
84.0,-100.0
85.0,-100.0
86.0,-100.0
87.0,-100.0
88.0,-100.0
89.0,-100.0
90.0,-100.0
91.0,-100.0
92.0,-100.0
93.0,-100.0
94.0,-100.0
95.0,-100.0
96.0,-100.0
97.0,-100.0
98.0,-100.0
99.0,-100.0
100.0,-100.0
101.0,-100.0
102.0,-100.0
103.0,-100.0
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-100.0
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-100.0
154.0,-100.0
155.0,-100.0
156.0,-100.0
157.0,-100.0
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-100.0
172.0,-100.0
173.0,-100.0
174.0,-100.0
175.0,-100.0
176.0,-100.0
177.0,-100.0
178.0,-100.0
179.0,-100.0
180.0,-100.0
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-92.40458333333333
200.0,-71.62666666666667
201.0,-48.71543650793651
202.0,3.20357683982684
203.0,68.23267393320965
204.0,99.97727272727272
205.0,100.0
206.0,100.0
207.0,100.0
208.0,100.0
209.0,100.0
210.0,100.0
211.0,100.0
212.0,100.0
213.0,100.0
214.0,100.0
215.0,100.0
216.0,100.0
217.0,100.0
218.0,100.0
219.0,100.0
220.0,100.0
221.0,100.0
222.0,100.0
223.0,100.0
224.0,100.0
225.0,100.0
226.0,100.0
227.0,100.0
228.0,100.0
229.0,100.0
230.0,100.0
231.0,100.0
232.0,100.0
233.0,100.0
234.0,100.0
235.0,100.0
236.0,100.0
237.0,100.0
238.0,100.0
239.0,100.0
240.0,100.0
241.0,100.0
242.0,100.0
243.0,100.0
244.0,100.0
245.0,100.0
246.0,100.0
247.0,100.0
248.0,100.0
249.0,100.0
250.0,100.0
251.0,100.0
252.0,100.0
253.0,100.0
254.0,100.0
255.0,100.0
256.0,100.0
257.0,100.0
258.0,100.0
259.0,100.0
260.0,100.0
261.0,100.0
262.0,100.0
263.0,100.0
264.0,100.0
265.0,100.0
266.0,100.0
267.0,100.0
268.0,100.0
269.0,100.0
270.0,100.0
271.0,100.0
272.0,99.99850299401197
273.0,99.98577844311377
274.0,99.97080838323353
275.0,99.95583832335329
276.0,99.94086826347305
277.0,99.92589820359282
278.0,99.91092814371258
279.0,99.89595808383233
280.0,99.88098802395209
281.0,99.86601796407186
282.0,99.85104790419162
283.0,99.83607784431138
284.0,99.82110778443113
285.0,99.8061377245509
286.0,99.79116766467067
287.0,99.77619760479043
288.0,99.76122754491018
289.0,99.74625748502994
290.0,99.7312874251497
291.0,99.71631736526946
292.0,99.70134730538922
293.0,99.68637724550898
294.0,99.67140718562874
295.0,99.65643712574851
296.0,99.64146706586827
297.0,99.62649700598803
298.0,99.61152694610777
299.0,99.59655688622755
300.0,99.5815868263473
301.0,99.56661676646706
302.0,99.55164670658682
303.0,99.53667664670658
304.0,99.52170658682635
305.0,99.50673652694611
306.0,90.55
307.0,73.8
308.0,58.26286141575274
309.0,52.41932535726155
310.0,52.03880026586906
311.0,51.65827517447657
312.0,51.277750083084086
313.0,50.89722499169159
314.0,50.5166999002991
315.0,50.13617480890661
316.0,49.75564971751412
317.0,49.37512462612163
318.0,48.99459953472915
319.0,48.614074443336655
320.0,48.23354935194416
321.0,47.85302426055168
322.0,47.472499169159185
323.0,47.09197407776669
324.0,46.71144898637421
325.0,46.33092389498172
326.0,45.95039880358923
327.0,45.56987371219674
328.0,45.18934862080425
329.0,44.80882352941176
330.0,44.42829843801927
331.0,44.047773346626784
332.0,43.6672482552343
333.0,43.286723163841806
334.0,42.906198072449314
335.0,42.52567298105683
336.0,42.14514788966434
337.0,41.76462279827185
338.0,41.38409770687936
339.0,41.003572615486874
340.0,40.62304752409438
341.0,40.24252243270189
342.0,39.861997341309404
343.0,39.48147224991691
344.0,39.10094715852442
345.0,38.720422067131935
346.0,38.33989697573945
347.0,37.95937188434696
348.0,37.57884679295447
349.0,37.19832170156198
350.0,36.81779661016949
351.0,36.437271518776996
352.0,36.05674642738451
353.0,35.676221335992025
354.0,35.29569624459954
355.0,34.91517115320704
356.0,34.534646061814556
357.0,34.15412097042207
358.0,33.77359587902957
359.0,33.393070787637086
360.0,33.0125456962446
361.0,32.632020604852116
362.0,32.251495513459616
363.0,31.87097042206713
364.0,31.49044533067464
365.0,31.109920239282154
366.0,30.729395147889665
367.0,30.348870056497173
368.0,29.968344965104688
369.0,29.5878198737122
370.0,29.207294782319707
371.0,28.826769690927215
372.0,28.44624459953473
373.0,28.06571950814224
374.0,27.68519441674975
375.0,27.304669325357263
376.0,26.924144233964775
377.0,26.543619142572282
378.0,26.16309405117979
379.0,25.782568959787305
380.0,25.402043868394816
381.0,25.021518777002328
382.0,24.640993685609835
383.0,24.26046859421735
384.0,23.879943502824858
385.0,23.49941841143237
386.0,23.11889332003988
387.0,22.738368228647392
388.0,22.357843137254903
389.0,21.97731804586241
390.0,21.596792954469926
391.0,21.216267863077434
392.0,20.835742771684945
393.0,20.455217680292456
394.0,20.074692588899968
395.0,19.69416749750748
396.0,19.313642406114987
397.0,18.9331173147225
398.0,18.55259222333001
399.0,18.172067131937524
400.0,17.791542040545032
401.0,17.411016949152543
402.0,17.030491857760055
403.0,16.649966766367562
404.0,16.269441674975077
405.0,15.888916583582585
406.0,15.5083914921901
407.0,15.12786640079761
408.0,14.747341309405119
409.0,14.36681621801263
410.0,13.986291126620142
411.0,13.605766035227651
412.0,13.22524094383516
413.0,12.844715852442675
414.0,12.464190761050183
415.0,12.083665669657696
416.0,11.703140578265206
417.0,11.322615486872717
418.0,10.942090395480228
419.0,10.561565304087738
420.0,10.181040212695251
421.0,9.800515121302759
422.0,9.419990029910272
423.0,9.039464938517781
424.0,8.658939847125293
425.0,8.278414755732804
426.0,7.8978896643403145
427.0,7.517364572947827
428.0,7.136839481555334
429.0,6.7563143901628475
430.0,6.375789298770357
431.0,5.995264207377869
432.0,5.61473911598538
433.0,5.234214024592889
434.0,4.853688933200402
435.0,4.473163841807911
436.0,4.092638750415424
437.0,3.7121136590229327
438.0,3.331588567630445
439.0,2.9510634762379553
440.0,2.5705383848454657
441.0,2.190013293452978
442.0,1.8094882020604863
443.0,1.4289631106679999
444.0,1.0484380192755083
445.0,0.667912927883021
446.0,0.2873878364905309
447.0,-0.0931372549019585
448.0,-0.4736623462944465
449.0,-0.8541874376869373
450.0,-1.2347125290794239
451.0,-1.615237620471916
452.0,-1.9957627118644035
453.0,-2.3762878032568935
454.0,-2.756812894649382
455.0,-3.137337986041871
456.0,-3.517863077434361
457.0,-3.8983881688268482
458.0,-4.2789132602193405
459.0,-4.659438351611827
460.0,-5.039963443004318
461.0,-5.420488534396806
462.0,-5.801013625789295
463.0,-6.181538717181786
464.0,-6.562063808574273
465.0,-6.942588899966765
466.0,-7.32311399135925
467.0,-7.703639082751742
468.0,-8.084164174144231
469.0,-8.46468926553672
470.0,-8.845214356929208
471.0,-9.225739448321697
472.0,-9.606264539714187
473.0,-9.986789631106674
474.0,-10.367314722499167
475.0,-10.747839813891654
476.0,-11.128364905284144
477.0,-11.508889996676636
478.0,-11.889415088069121
479.0,-12.269940179461607
480.0,-12.650465270854104
481.0,-13.030990362246593
482.0,-13.411515453639078
483.0,-13.792040545031568
484.0,-14.172565636424059
485.0,-14.553090727816544
486.0,-14.93361581920903
487.0,-15.314140910601527
488.0,-15.694666001994017
489.0,-16.0751910933865
490.0,-16.45571618477899
491.0,-16.836241276171485
492.0,-17.21676636756397
493.0,-17.597291458956455
494.0,-17.97781655034895
495.0,-18.35834164174144
496.0,-18.738866733133925
497.0,-19.11939182452641
498.0,-19.49991691591891
499.0,-19.880442007311395
500.0,-20.26096709870388
501.0,-20.641492190096375
502.0,-21.022017281488864
503.0,-21.40254237288135
504.0,-21.783067464273834
505.0,-22.163592555666334
506.0,-22.54411764705882
507.0,-22.924642738451304
508.0,-23.3051678298438
509.0,-23.68569292123629
510.0,-24.066218012628774
511.0,-24.44674310402126
512.0,-24.827268195413758
513.0,-25.207793286806243
514.0,-25.58831837819873
515.0,-25.968843469591224
516.0,-26.349368560983713
517.0,-26.729893652376198
518.0,-27.110418743768683
519.0,-27.490943835161183
520.0,-27.871468926553668
521.0,-28.251994017946153
522.0,-28.63251910933865
523.0,-29.013044200731137
524.0,-29.393569292123622
525.0,-29.774094383516108
526.0,-30.154619474908607
527.0,-30.535144566301092
528.0,-30.915669657693577
529.0,-31.296194749086066
530.0,-31.67671984047856
531.0,-32.05724493187105
532.0,-32.43777002326353
533.0,-32.81829511465603
534.0,-33.19882020604852
535.0,-33.579345297441
536.0,-33.959870388833494
537.0,-34.340395480225986
538.0,-34.72092057161847
539.0,-35.101445663010956
540.0,-35.481970754403456
541.0,-35.86249584579594
542.0,-36.243020937188426
543.0,-36.62354602858092
544.0,-37.00407111997341
545.0,-37.384596211365896
546.0,-37.76512130275838
547.0,-38.14564639415088
548.0,-38.526171485543365
549.0,-38.90669657693585
550.0,-39.28722166832834
551.0,-39.667746759720835
552.0,-40.04827185111332
553.0,-40.428796942505805
554.0,-40.8093220338983
555.0,-41.18984712529079
556.0,-41.570372216683275
557.0,-41.95089730807577
558.0,-42.33142239946826
559.0,-42.711947490860744
560.0,-43.09247258225323
561.0,-43.47299767364573
562.0,-43.853522765038214
563.0,-44.2340478564307
564.0,-44.614572947823184
565.0,-44.995098039215684
566.0,-45.37562313060817
567.0,-45.756148222000654
568.0,-46.136673313393146
569.0,-46.51719840478564
570.0,-46.89772349617812
571.0,-47.278248587570616
572.0,-47.65877367896311
573.0,-48.03929877035559
574.0,-48.41982386174808
575.0,-48.80034895314057
576.0,-49.18087404453306
577.0,-49.56139913592555
578.0,-49.94192422731803
579.0,-50.32244931871053
580.0,-50.70297441010302
581.0,-51.0834995014955
582.0,-51.464024592887995
583.0,-51.844549684280494
584.0,-52.22507477567298
585.0,-52.605599867065465
586.0,-52.98612495845796
587.0,-53.36665004985044
588.0,-53.74717514124293
589.0,-54.12770023263541
590.0,-54.50822532402791
591.0,-54.8887504154204
592.0,-55.26927550681288
593.0,-55.649800598205374
594.0,-56.03032568959786
595.0,-56.410850780990344
596.0,-56.791375872382844
597.0,-57.17190096377534
598.0,-57.55242605516783
599.0,-57.93295114656031
600.0,-58.313476237952806
601.0,-58.69400132934529
602.0,-59.074526420737776
603.0,-59.45505151213026
604.0,-59.83557660352276
605.0,-60.216101694915245
606.0,-60.59662678630773
607.0,-60.97715187770022
608.0,-61.35767696909271
609.0,-61.73820206048519
610.0,-62.11872715187769
611.0,-62.49925224327019
612.0,-62.87977733466268
613.0,-63.26030242605516
614.0,-63.640827517447654
615.0,-64.02135260884013
616.0,-64.40187770023262
617.0,-64.78240279162512
618.0,-65.16292788301762
619.0,-65.5434529744101
620.0,-65.92397806580259
621.0,-66.30450315719507
622.0,-66.68502824858756
623.0,-67.06555333998004
624.0,-67.44607843137253
625.0,-67.82660352276504
626.0,-68.20712861415753
627.0,-68.58765370555001
628.0,-68.9681787969425
629.0,-69.34870388833498
630.0,-69.72922897972747
631.0,-70.10975407111997
632.0,-70.49027916251246
633.0,-70.87080425390495
634.0,-71.25132934529744
635.0,-71.63185443668992
636.0,-72.0123795280824
637.0,-72.39290461947489
638.0,-72.77342971086738
639.0,-73.15395480225989
640.0,-73.53447989365237
641.0,-73.91500498504486
642.0,-74.29553007643734
643.0,-74.67605516782983
644.0,-75.05658025922232
645.0,-75.43710535061481
646.0,-75.81763044200731
647.0,-76.1981555333998
648.0,-76.57868062479228
649.0,-76.95920571618477
650.0,-77.33973080757725
651.0,-77.72025589896975
652.0,-78.10078099036225
653.0,-78.48130608175474
654.0,-78.86183117314722
655.0,-79.24235626453971
656.0,-79.6228813559322
657.0,-80.00340644732468
658.0,-80.38393153871718
659.0,-80.76445663010968
660.0,-81.14498172150216
661.0,-81.52550681289465
662.0,-81.90603190428713
663.0,-82.28655699567962
664.0,-82.6670820870721
665.0,-83.0476071784646
666.0,-83.4281322698571
667.0,-83.80865736124959
668.0,-84.18918245264207
669.0,-84.56970754403456
670.0,-84.95023263542704
671.0,-85.33075772681953
672.0,-85.71128281821203
673.0,-86.09180790960453
674.0,-86.47233300099701
675.0,-86.8528580923895
676.0,-87.23338318378198
677.0,-87.61390827517447
678.0,-87.99443336656695
679.0,-88.37495845795945
680.0,-88.75548354935195
681.0,-89.13600864074444
682.0,-89.51653373213692
683.0,-89.8970588235294
684.0,-90.27758391492189
685.0,-90.65810900631438
686.0,-91.03863409770688
687.0,-91.41915918909937
688.0,-91.79968428049186
689.0,-92.18020937188435
690.0,-92.56073446327683
691.0,-92.94125955466932
692.0,-93.3217846460618
693.0,-93.70230973745429
694.0,-94.0828348288468
695.0,-94.46335992023928
696.0,-94.84388501163177
697.0,-95.22441010302425
698.0,-95.60493519441674
699.0,-95.98546028580922
700.0,-96.36598537720172
701.0,-96.74651046859422
702.0,-97.12703555998671
703.0,-97.5075606513792
704.0,-97.88808574277168
705.0,-98.26861083416416
706.0,-98.64913592555665
707.0,-99.02966101694913
708.0,-99.41018610834165
709.0,-99.79071119973413
710.0,-100.0
