Time(sec),AJSW1J6VE37BL
0.0,-99.08222222222221
1.0,-97.38666666666667
2.0,-95.25333333333333
3.0,-92.33333333333333
4.0,-91.56666666666666
5.0,-88.5
6.0,-87.65
7.0,-64.0
8.0,-29.613333333333333
9.0,-18.756666666666668
10.0,-43.995
11.0,-20.083646284271282
12.0,-74.63636363636364
13.0,-74.63636363636364
14.0,-74.63636363636364
15.0,-74.63636363636364
16.0,-46.66583139083139
17.0,17.843906093906092
18.0,55.52401515151515
19.0,93.31531347962382
20.0,79.71264367816092
21.0,65.79310344827587
22.0,51.873563218390814
23.0,37.95402298850575
24.0,24.034482758620697
25.0,10.11494252873564
26.0,-3.8045977011494174
27.0,-15.775402298850565
28.0,-22.943965517241374
29.0,-29.486149425287344
30.0,-30.947701149425267
31.0,-30.947701149425267
32.0,-30.947701149425267
33.0,-30.947701149425267
34.0,-30.947701149425267
35.0,-30.947701149425267
36.0,-30.947701149425267
37.0,-30.947701149425267
38.0,-32.06126436781608
39.0,-38.03977011494253
40.0,-37.0
41.0,-37.0
42.0,-37.0
43.0,-37.0
44.0,-37.0
45.0,-37.0
46.0,-38.6625
47.0,-34.40371031746032
48.0,-16.106410256410257
49.0,-12.689545454545454
50.0,-0.3254058441558441
51.0,4.628125
52.0,6.613333333333334
53.0,8.597596153846153
54.0,10.6875
55.0,11.0
56.0,11.0
57.0,11.0
58.0,11.0
59.0,11.0
60.0,11.0
61.0,11.0
62.0,7.405714285714285
63.0,2.75
64.0,2.3928571428571432
65.0,2.064285714285714
66.0,2.0
67.0,2.0
68.0,2.0
69.0,2.0
70.0,2.033333333333333
71.0,17.294199134199136
72.0,32.390277777777776
73.0,33.25
74.0,33.25
75.0,33.25
76.0,33.25
77.0,33.25
78.0,33.25
79.0,33.25
80.0,33.25
81.0,36.125
82.0,49.774677871148455
83.0,56.0
84.0,56.0
85.0,56.0
86.0,56.0
87.0,56.0
88.0,57.40833333333334
89.0,80.12485347985348
90.0,29.602777777777778
91.0,12.525
92.0,1.396666666666667
93.0,-7.713333333333334
94.0,-13.6825
95.0,-23.880000000000003
96.0,-24.0
97.0,-24.0
98.0,-24.0
99.0,-24.0
100.0,-24.0
101.0,-24.0
102.0,-24.0
103.0,-24.0
104.0,-24.0
105.0,-14.904004329004328
106.0,13.439523809523811
107.0,29.564444444444444
108.0,62.3325
109.0,67.0
110.0,67.0
111.0,67.0
112.0,67.0
113.0,67.0
114.0,67.0
115.0,67.0
116.0,67.0
117.0,67.0
118.0,67.0
119.0,67.0
120.0,67.0
121.0,67.0
122.0,67.0
123.0,67.0
124.0,67.0
125.0,67.0
126.0,67.0
127.0,67.0
128.0,67.0
129.0,67.0
130.0,67.0
131.0,67.0
132.0,67.0
133.0,66.98518518518519
134.0,66.85925925925926
135.0,66.71111111111111
136.0,66.56296296296296
137.0,66.41481481481482
138.0,44.26239971139971
139.0,20.67066666666667
140.0,10.3017925561029
141.0,6.654374201787995
142.0,5.070721583652618
143.0,5.045977011494252
144.0,5.045977011494252
145.0,5.045977011494252
146.0,5.045977011494252
147.0,5.045977011494252
148.0,5.045977011494252
149.0,5.045977011494252
150.0,5.045977011494252
151.0,5.045977011494252
152.0,4.155172413793102
153.0,1.7054597701149412
154.0,-0.7689974457215856
155.0,-3.243454661558112
156.0,-5.71791187739464
157.0,-8.192369093231166
158.0,-10.666826309067691
159.0,-13.14128352490422
160.0,-15.615740740740744
161.0,-18.09019795657727
162.0,-20.5646551724138
163.0,-23.039112388250324
164.0,-25.51356960408685
165.0,-27.98802681992338
166.0,-30.610951468710095
167.0,-35.04022988505748
168.0,-39.98914431673053
169.0,-44.938058748403584
170.0,-49.88697318007664
171.0,-52.387662835249046
172.0,-40.40833333333334
173.0,-31.0
174.0,-31.0
175.0,-31.0
176.0,-31.0
177.0,-31.0
178.0,-31.0
179.0,-31.0
180.0,-31.0
181.0,-31.0
182.0,-31.0
183.0,-31.0
184.0,-31.0
185.0,-31.0
186.0,-31.0
187.0,-31.0
188.0,-31.0
189.0,-31.0
190.0,-31.0
191.0,-31.0
192.0,-31.0
193.0,-31.0
194.0,-31.0
195.0,-31.0
196.0,-31.0
197.0,-31.0
198.0,-31.0
199.0,-31.0
200.0,-31.0
201.0,-31.0
202.0,-31.0
203.0,-31.0
204.0,-31.0
205.0,-31.0
206.0,-31.0
207.0,-31.0
208.0,-31.0
209.0,-31.0
210.0,-31.0
211.0,-31.0
212.0,-31.0
213.0,-31.0
214.0,-31.0
215.0,-31.0
216.0,-31.0
217.0,-31.0
218.0,-31.0
219.0,-31.0
220.0,-31.0
221.0,-31.0
222.0,-31.0
223.0,-31.0
224.0,-31.0
225.0,-31.0
226.0,-31.0
227.0,-31.0
228.0,-31.0
229.0,-31.0
230.0,-31.0
231.0,-31.0
232.0,-31.0
233.0,-31.0
234.0,-31.0
235.0,-28.605158160552897
236.0,-16.801690433749258
237.0,-5.448492063492063
238.0,5.9452380952380945
239.0,13.0
240.0,13.0
241.0,13.0
242.0,13.0
243.0,13.0
244.0,13.0
245.0,13.0
246.0,13.0
247.0,13.0
248.0,13.0
249.0,13.0
250.0,13.0
251.0,13.0
252.0,13.0
253.0,13.0
254.0,13.0
255.0,13.0
256.0,13.0
257.0,13.0
258.0,13.0
259.0,13.0
260.0,13.0
261.0,13.0
262.0,13.0
263.0,13.0
264.0,13.0
265.0,13.0
266.0,13.0
267.0,13.0
268.0,13.0
269.0,13.0
270.0,13.0
271.0,13.0
272.0,13.0
273.0,13.0
274.0,13.0
275.0,13.0
276.0,13.0
277.0,13.0
278.0,13.0
279.0,13.0
280.0,13.0
281.0,13.0
282.0,13.0
283.0,13.0
284.0,13.0
285.0,13.0
286.0,13.0
287.0,13.0
288.0,13.0
289.0,13.0
290.0,13.0
291.0,13.0
292.0,13.0
293.0,13.0
294.0,13.0
295.0,13.0
296.0,13.0
297.0,13.0
298.0,13.0
299.0,13.0
300.0,13.0
301.0,13.0
302.0,13.0
303.0,13.0
304.0,13.0
305.0,13.0
306.0,13.0
307.0,13.0
308.0,13.0
309.0,13.0
310.0,13.0
311.0,13.0
312.0,13.0
313.0,13.0
314.0,13.0
315.0,13.0
316.0,13.0
317.0,13.0
318.0,13.419999999999998
319.0,24.69166666666667
320.0,34.59821428571429
321.0,34.77678571428571
322.0,34.95
323.0,35.0
324.0,35.0
325.0,35.0
326.0,35.0
327.0,35.0
328.0,35.0
329.0,35.0
330.0,35.0
331.0,35.0
332.0,35.0
333.0,35.0
334.0,35.0
335.0,35.0
336.0,35.0
337.0,35.0
338.0,35.0
339.0,35.0
340.0,35.0
341.0,35.0
342.0,35.0
343.0,35.0
344.0,35.0
345.0,35.0
346.0,35.0
347.0,35.0
348.0,35.0
349.0,35.0
350.0,35.0
351.0,35.0
352.0,35.0
353.0,35.0
354.0,35.0
355.0,35.0
356.0,35.0
357.0,35.0
358.0,35.0
359.0,35.0
360.0,35.0
361.0,35.0
362.0,35.0
363.0,35.0
364.0,35.0
365.0,35.0
366.0,35.0
367.0,35.0
368.0,35.0
369.0,35.0
370.0,35.0
371.0,35.0
372.0,35.0
373.0,35.0
374.0,35.0
375.0,35.0
376.0,35.0
377.0,35.0
378.0,35.0
379.0,35.0
380.0,35.0
381.0,35.0
382.0,35.0
383.0,35.0
384.0,35.0
385.0,35.0
386.0,35.0
387.0,35.0
388.0,35.0
389.0,35.0
390.0,35.0
391.0,35.0
392.0,35.0
393.0,35.0
394.0,35.0
395.0,35.0
396.0,35.0
397.0,35.0
398.0,35.0
399.0,35.0
400.0,35.0
401.0,35.0
402.0,35.0
403.0,35.0
404.0,35.0
405.0,35.0
406.0,35.0
407.0,35.0
408.0,35.0
409.0,35.0
410.0,35.0
411.0,35.0
412.0,35.0
413.0,35.0
414.0,35.0
415.0,35.0
416.0,35.0
417.0,35.0
418.0,35.0
419.0,35.0
420.0,35.0
421.0,35.0
422.0,35.0
423.0,35.0
424.0,35.0
425.0,35.0
426.0,35.0
427.0,35.0
428.0,35.0
429.0,35.0
430.0,35.0
431.0,35.0
432.0,35.0
433.0,35.0
434.0,35.0
435.0,35.0
436.0,35.0
437.0,35.0
438.0,35.0
439.0,35.0
440.0,35.0
441.0,35.0
442.0,35.0
443.0,35.0
444.0,35.0
445.0,35.0
446.0,35.0
447.0,35.0
448.0,35.0
449.0,35.0
450.0,35.0
451.0,35.0
452.0,35.0
453.0,35.0
454.0,35.0
455.0,35.0
456.0,35.0
457.0,35.0
458.0,35.0
459.0,35.0
460.0,35.0
461.0,35.0
462.0,35.0
463.0,35.0
464.0,35.0
465.0,35.0
466.0,35.0
467.0,35.0
468.0,35.0
469.0,35.0
470.0,35.0
471.0,35.0
472.0,35.0
473.0,35.0
474.0,35.0
475.0,35.0
476.0,35.0
477.0,35.0
478.0,35.0
479.0,35.0
480.0,35.0
481.0,35.0
482.0,35.0
483.0,35.0
484.0,35.0
485.0,35.0
486.0,35.0
487.0,35.0
488.0,35.0
489.0,35.0
490.0,35.0
491.0,35.0
492.0,35.0
493.0,35.0
494.0,35.0
495.0,35.0
496.0,35.0
497.0,35.0
498.0,35.0
499.0,35.0
500.0,35.0
501.0,35.0
502.0,35.0
503.0,35.0
504.0,35.0
505.0,35.0
506.0,35.0
507.0,35.0
508.0,35.0
509.0,35.0
510.0,35.0
511.0,35.0
512.0,35.0
513.0,35.0
514.0,35.0
515.0,35.0
516.0,35.0
517.0,35.0
518.0,35.0
519.0,35.0
520.0,35.0
521.0,35.0
522.0,35.0
523.0,35.0
524.0,35.0
525.0,35.0
526.0,35.0
527.0,35.0
528.0,35.0
529.0,35.0
530.0,35.0
531.0,35.0
532.0,35.0
533.0,35.0
534.0,35.0
535.0,35.0
536.0,35.0
537.0,35.0
538.0,35.0
539.0,35.0
540.0,35.0
541.0,35.0
542.0,35.0
543.0,35.0
544.0,35.0
545.0,35.0
546.0,35.0
547.0,35.0
548.0,35.0
549.0,35.0
550.0,35.0
551.0,35.0
552.0,35.0
553.0,35.0
554.0,35.0
555.0,35.0
556.0,35.0
557.0,35.0
558.0,35.0
559.0,35.0
560.0,35.0
561.0,35.0
562.0,35.0
